"YEAR","ICAO","NAME","STATE","ASMA_RADIUS","LABEL","FLIGHTS_UNIMPEDED","TIME_REF","TIME_ADD"
2015,"LICC","Catania","Italy",40,"Catania (LICC)",26884,332283,29377
2015,"LIMC","Milan/ Malpensa","Italy",40,"Milan/ Malpensa (LIMC)",50148,605640,25076
2015,"LIME","Bergamo","Italy",40,"Bergamo (LIME)",36791,514727,13591
2015,"LIML","Milan/ Linate","Italy",40,"Milan/ Linate (LIML)",7541,85105,5151
2015,"LIPE","Bologna","Italy",40,"Bologna (LIPE)",28794,372353,17772
2015,"LIPZ","Venice","Italy",40,"Venice (LIPZ)",39876,451627,41249
2015,"LIRF","Rome/Fiumicino","Italy",40,"Rome/Fiumicino (LIRF)",153769,1925000,255320
2015,"LIRN","Naples","Italy",40,"Naples (LIRN)",26112,352829,14978
2015,"LJLJ","Ljubljana","Slovenia",40,"Ljubljana (LJLJ)",12033,153457,1977
2015,"LKPR","Prague","Czech Republic",40,"Prague (LKPR)",59718,757228,65426
2015,"LMML","Malta","Malta",40,"Malta (LMML)",19624,234998,8941
2015,"LOWW","Vienna","Austria",40,"Vienna (LOWW)",116462,1428960,230349
2015,"LPPR","Porto","Portugal",40,"Porto (LPPR)",33629,420172,14474
2015,"LPPT","Lisbon","Portugal",40,"Lisbon (LPPT)",79604,1034267,117053
2015,"LROP","Bucharest/ Otopeni","Romania",40,"Bucharest/ Otopeni (LROP)",46362,555083,60879
2015,"LSGG","Geneva","Switzerland",40,"Geneva (LSGG)",88335,1158929,203129
2015,"LSZH","Zürich","Switzerland",40,"Zürich (LSZH)",120310,1593670,375287
2015,"LZIB","Bratislava","Slovakia",40,"Bratislava (LZIB)",8499,111457,5409
2015,NA,"Austria","Austria",40,NA,116462,1428960,230349
2015,NA,"Belgium","Belgium",40,NA,134035,1672487,156737
2015,NA,"Bulgaria","Bulgaria",40,NA,20583,259778,7430
2015,NA,"Czech Republic","Czech Republic",40,NA,59718,757228,65426
2015,NA,"Denmark","Denmark",40,NA,118446,1386975,175001
2015,NA,"Finland","Finland",40,NA,78330,960329,82973
2015,NA,"France","France",40,NA,500265,7023400,486324
2015,NA,"Germany","Germany",40,NA,899551,11755123,1490893
2015,NA,"Greece","Greece",40,NA,77235,1020415,63029
2015,NA,"Hungary","Hungary",40,NA,44649,578077,26277
2015,NA,"Ireland","Ireland",40,NA,96036,1227743,245814
2015,NA,"Italy","Italy",40,NA,369915,4639564,402514
2015,NA,"Latvia","Latvia",40,NA,33066,413382,20845
2015,NA,"Luxembourg","Luxembourg",40,NA,27517,355139,13862
2015,NA,"Malta","Malta",40,NA,19624,234998,8941
2015,NA,"Netherlands","Netherlands",40,NA,226108,3002893,344710
2015,NA,"Norway","Norway",40,NA,205649,2441849,374297
2015,NA,"Poland","Poland",40,NA,0,0,0
2015,NA,"Portugal","Portugal",40,NA,113233,1454439,131527
2015,NA,"Romania","Romania",40,NA,46362,555083,60879
2015,NA,"SES","SES",40,NA,4806041,62765478,8666546
2015,NA,"Slovakia","Slovakia",40,NA,8499,111457,5409
2015,NA,"Slovenia","Slovenia",40,NA,12033,153457,1977
2015,NA,"Spain","Spain",40,NA,685720,9036941,781580
2015,NA,"Sweden","Sweden",40,NA,141664,1737871,163711
2015,NA,"Switzerland","Switzerland",40,NA,208645,2752599,578416
2015,NA,"United Kingdom","United Kingdom",40,NA,821870,11221566,3113180
2016,"EBBR","Brussels","Belgium",40,"Brussels (EBBR)",104339,1304663,100896
2016,"EBCI","Charleroi","Belgium",40,"Charleroi (EBCI)",23133,286636,7938
2016,"EDDB","Berlin/ Schoenefeld","Germany",40,"Berlin/ Schoenefeld (EDDB)",45548,592372,41324
2016,"EDDE","Erfurt","Germany",40,"Erfurt (EDDE)",1329,16570,830
2016,"EDDF","Frankfurt","Germany",40,"Frankfurt (EDDF)",222699,3067240,384408
2016,"EDDH","Hamburg","Germany",40,"Hamburg (EDDH)",72361,926000,100642
2016,"EDDK","Cologne-Bonn","Germany",40,"Cologne-Bonn (EDDK)",62495,808170,57069
2016,"EDDL","Dusseldorf","Germany",40,"Dusseldorf (EDDL)",102431,1311569,185055
2016,"EDDM","Munich","Germany",40,"Munich (EDDM)",190581,2503955,380780
2016,"EDDN","Nuremberg","Germany",40,"Nuremberg (EDDN)",20784,267385,10548
2016,"EDDP","Leipzig-Halle","Germany",40,"Leipzig-Halle (EDDP)",27804,357666,53962
2016,"EDDR","Saarbruecken","Germany",40,"Saarbruecken (EDDR)",2854,35904,1078
2016,"EDDS","Stuttgart","Germany",40,"Stuttgart (EDDS)",52947,657680,13795
2016,"EDDT","Berlin/ Tegel","Germany",40,"Berlin/ Tegel (EDDT)",90166,1142116,173539
2016,"EDDV","Hanover","Germany",40,"Hanover (EDDV)",28451,358456,8027
2016,"EDDW","Bremen","Germany",40,"Bremen (EDDW)",13726,176938,6892
2016,"EETN","Tallinn","Estonia",40,"Tallinn (EETN)",14747,189856,4933
2016,"EFHK","Helsinki/ Vantaa","Finland",40,"Helsinki/ Vantaa (EFHK)",78268,958619,76521
2016,"EGBB","Birmingham","United Kingdom",40,"Birmingham (EGBB)",53719,686600,56844
2016,"EGCC","Manchester","United Kingdom",40,"Manchester (EGCC)",93125,1260006,181966
2016,"EGGD","Bristol","United Kingdom",40,"Bristol (EGGD)",31671,419941,13406
2016,"EGGW","London/ Luton","United Kingdom",40,"London/ Luton (EGGW)",62028,907313,69134
2016,"EGKK","London/ Gatwick","United Kingdom",40,"London/ Gatwick (EGKK)",135836,1910126,569927
2016,"EGLC","London/ City","United Kingdom",40,"London/ City (EGLC)",40539,542313,32893
2016,"EGLL","London/ Heathrow","United Kingdom",40,"London/ Heathrow (EGLL)",230539,3116014,1942417
2016,"EGNT","Newcastle","United Kingdom",40,"Newcastle (EGNT)",22055,289031,3342
2016,"EGPD","Aberdeen","United Kingdom",40,"Aberdeen (EGPD)",29344,382735,34605
2016,"EGPF","Glasgow","United Kingdom",40,"Glasgow (EGPF)",0,0,0
2016,"EGPH","Edinburgh","United Kingdom",40,"Edinburgh (EGPH)",59070,769877,68868
2016,"EGSS","London/ Stansted","United Kingdom",40,"London/ Stansted (EGSS)",87373,1232714,128792
2016,"EHAM","Amsterdam/ Schiphol","Netherlands",40,"Amsterdam/ Schiphol (EHAM)",240899,3190635,372353
2016,"EICK","Cork","Ireland",40,"Cork (EICK)",10265,125211,2924
2016,"EIDW","Dublin","Ireland",40,"Dublin (EIDW)",104797,1336624,279526
2016,"EKCH","Copenhagen/ Kastrup","Denmark",40,"Copenhagen/ Kastrup (EKCH)",125667,1463383,196546
2016,"ELLX","Luxembourg","Luxembourg",40,"Luxembourg (ELLX)",29248,379116,17758
2016,"ENBR","Bergen","Norway",40,"Bergen (ENBR)",33230,405558,35329
2016,"ENGM","Oslo/ Gardermoen","Norway",40,"Oslo/ Gardermoen (ENGM)",118491,1456616,225546
2016,"ENVA","Trondheim","Norway",40,"Trondheim (ENVA)",17290,194632,10064
2016,"ENZV","Stavanger","Norway",40,"Stavanger (ENZV)",25044,288436,15431
2016,"EPWA","Warszawa/ Chopina","Poland",40,"Warszawa/ Chopina (EPWA)",74612,981450,115396
2016,"ESGG","Göteborg","Sweden",40,"Göteborg (ESGG)",32753,432018,9680
2016,"ESSA","Stockholm/ Arlanda","Sweden",40,"Stockholm/ Arlanda (ESSA)",114028,1467222,135056
2016,"EVRA","Riga","Latvia",40,"Riga (EVRA)",32977,413582,34057
2016,"GCFV","Fuerteventura","Spain",40,"Fuerteventura (GCFV)",20691,291075,11331
2016,"GCLP","Gran Canaria","Spain",40,"Gran Canaria (GCLP)",43704,623517,94964
2016,"GCRR","Lanzarote","Spain",40,"Lanzarote (GCRR)",25725,352896,20516
2016,"GCTS","Tenerife Sur/Reina Sofia","Spain",40,"Tenerife Sur/Reina Sofia (GCTS)",29942,384087,22870
2016,"GCXO","Tenerife North","Spain",40,"Tenerife North (GCXO)",12730,148812,9254
2016,"LBSF","Sofia","Bulgaria",40,"Sofia (LBSF)",23980,302863,10722
2016,"LEAL","Alicante","Spain",40,"Alicante (LEAL)",42501,599579,44053
2016,"LEBB","Bilbao","Spain",40,"Bilbao (LEBB)",20198,265597,8164
2016,"LEBL","Barcelona","Spain",40,"Barcelona (LEBL)",144893,1856764,326313
2016,"LEIB","Ibiza","Spain",40,"Ibiza (LEIB)",28643,375605,22420
2016,"LEMD","Madrid/ Barajas","Spain",40,"Madrid/ Barajas (LEMD)",184107,2487505,215754
2016,"LEMG","Málaga","Spain",40,"Málaga (LEMG)",58045,768375,74944
2016,"LEPA","Palma de Mallorca","Spain",40,"Palma de Mallorca (LEPA)",88034,1103999,156589
2016,"LEVC","Valencia","Spain",40,"Valencia (LEVC)",26467,348756,15983
2016,"LEZL","Sevilla","Spain",40,"Sevilla (LEZL)",17452,211051,9429
2016,"LFLL","Lyon-Saint-Exupéry","France",40,"Lyon-Saint-Exupéry (LFLL)",53063,682652,44474
2016,"LFMN","Nice-Côte d’Azur","France",40,"Nice-Côte d'Azur (LFMN)",67233,937797,137854
2016,"LFPG","Paris-Charles-de-Gaulle","France",40,"Paris-Charles-de-Gaulle (LFPG)",234519,3414051,157413
2016,"LFPO","Paris-Orly","France",40,"Paris-Orly (LFPO)",115531,1603059,135874
2016,"LFSB","Bâle-Mulhouse","France",40,"Bâle-Mulhouse (LFSB)",33718,447992,27342
2016,"LGAV","Athens","Greece",40,"Athens (LGAV)",83787,1102720,92449
2016,"LHBP","Budapest/ Ferihegy","Hungary",40,"Budapest/ Ferihegy (LHBP)",46587,603711,44021
2016,"LICC","Catania","Italy",40,"Catania (LICC)",29889,370333,29852
2016,"LIMC","Milan/ Malpensa","Italy",40,"Milan/ Malpensa (LIMC)",80110,968697,61192
2016,"LIME","Bergamo","Italy",40,"Bergamo (LIME)",38800,544109,32374
2016,"LIML","Milan/ Linate","Italy",40,"Milan/ Linate (LIML)",53450,608212,45451
2016,"LIPE","Bologna","Italy",40,"Bologna (LIPE)",30718,401201,19184
2016,"LIPZ","Venice","Italy",40,"Venice (LIPZ)",44041,502419,42837
2016,"LIRF","Rome/Fiumicino","Italy",40,"Rome/Fiumicino (LIRF)",154930,1921052,228346
2016,"LIRN","Naples","Italy",40,"Naples (LIRN)",27868,382187,16008
2016,"LJLJ","Ljubljana","Slovenia",40,"Ljubljana (LJLJ)",11989,152140,3564
2016,"LKPR","Prague","Czech Republic",40,"Prague (LKPR)",63746,808037,79438
2016,"LMML","Malta","Malta",40,"Malta (LMML)",20380,243770,13631
2016,"LOWW","Vienna","Austria",40,"Vienna (LOWW)",116399,1428772,217997
2016,"LPPR","Porto","Portugal",40,"Porto (LPPR)",36858,462593,23997
2016,"LPPT","Lisbon","Portugal",40,"Lisbon (LPPT)",88755,1175682,194963
2016,"LROP","Bucharest/ Otopeni","Romania",40,"Bucharest/ Otopeni (LROP)",51749,616681,63536
2016,"LSGG","Geneva","Switzerland",40,"Geneva (LSGG)",89210,1169745,202319
2016,"LSZH","Zürich","Switzerland",40,"Zürich (LSZH)",123078,1625479,345384
2016,"LZIB","Bratislava","Slovakia",40,"Bratislava (LZIB)",8933,116564,2784
2016,NA,"Austria","Austria",40,NA,116399,1428772,217997
2016,NA,"Belgium","Belgium",40,NA,127472,1591299,108834
2016,NA,"Bulgaria","Bulgaria",40,NA,23980,302863,10722
2016,NA,"Czech Republic","Czech Republic",40,NA,63746,808037,79438
2016,NA,"Denmark","Denmark",40,NA,125667,1463383,196546
2016,NA,"Estonia","Estonia",40,NA,14747,189856,4933
2016,NA,"Finland","Finland",40,NA,78268,958619,76521
2016,NA,"France","France",40,NA,504064,7085551,502957
2016,NA,"Germany","Germany",40,NA,934176,12222021,1417949
2016,NA,"Greece","Greece",40,NA,83787,1102720,92449
2016,NA,"Hungary","Hungary",40,NA,46587,603711,44021
2016,NA,"Ireland","Ireland",40,NA,115062,1461835,282450
2016,NA,"Italy","Italy",40,NA,459806,5698210,475244
2016,NA,"Latvia","Latvia",40,NA,32977,413582,34057
2016,NA,"Luxembourg","Luxembourg",40,NA,29248,379116,17758
2016,NA,"Malta","Malta",40,NA,20380,243770,13631
2016,NA,"Netherlands","Netherlands",40,NA,240899,3190635,372353
2016,NA,"Norway","Norway",40,NA,194055,2345242,286370
2016,NA,"Poland","Poland",40,NA,74612,981450,115396
2016,NA,"Portugal","Portugal",40,NA,125613,1638275,218960
2016,NA,"Romania","Romania",40,NA,51749,616681,63536
2016,NA,"SES","SES",40,NA,5157840,67418867,9059277
2016,NA,"Slovakia","Slovakia",40,NA,8933,116564,2784
2016,NA,"Slovenia","Slovenia",40,NA,11989,152140,3564
2016,NA,"Spain","Spain",40,NA,743132,9817618,1032584
2016,NA,"Sweden","Sweden",40,NA,146781,1899240,144736
2016,NA,"Switzerland","Switzerland",40,NA,212288,2795224,547703
2016,NA,"United Kingdom","United Kingdom",40,NA,845299,11516670,3102194
2017,"EBBR","Brussels","Belgium",40,"Brussels (EBBR)",112024,1391830,117539
2017,"EBCI","Charleroi","Belgium",40,"Charleroi (EBCI)",23834,294473,6331
2017,"EDDB","Berlin/ Schoenefeld","Germany",40,"Berlin/ Schoenefeld (EDDB)",47506,627387,42996
2017,"EDDE","Erfurt","Germany",40,"Erfurt (EDDE)",1747,22331,633
2017,"EDDF","Frankfurt","Germany",40,"Frankfurt (EDDF)",229236,3120501,399018
2017,"EDDG","Muenster-Osnabrueck","Germany",40,"Muenster-Osnabrueck (EDDG)",5778,77963,727
2017,"EDDH","Hamburg","Germany",40,"Hamburg (EDDH)",73295,943546,134346
2017,"EDDK","Cologne-Bonn","Germany",40,"Cologne-Bonn (EDDK)",65883,867077,83576
2017,"EDDL","Dusseldorf","Germany",40,"Dusseldorf (EDDL)",105561,1344505,187272
2017,"EDDM","Munich","Germany",40,"Munich (EDDM)",193991,2561128,375420
2017,"EDDN","Nuremberg","Germany",40,"Nuremberg (EDDN)",23167,306110,9109
2017,"EDDP","Leipzig-Halle","Germany",40,"Leipzig-Halle (EDDP)",29938,390051,56590
2017,"EDDR","Saarbruecken","Germany",40,"Saarbruecken (EDDR)",2804,35062,1116
2017,"EDDS","Stuttgart","Germany",40,"Stuttgart (EDDS)",53589,669211,42957
2017,"EDDT","Berlin/ Tegel","Germany",40,"Berlin/ Tegel (EDDT)",83969,1082791,138045
2017,"EDDV","Hanover","Germany",40,"Hanover (EDDV)",28885,362300,9002
2017,"EDDW","Bremen","Germany",40,"Bremen (EDDW)",12771,164307,5450
2017,"EETN","Tallinn","Estonia",40,"Tallinn (EETN)",16642,219180,1993
2017,"EFHK","Helsinki/ Vantaa","Finland",40,"Helsinki/ Vantaa (EFHK)",82356,1008552,88815
2017,"EGBB","Birmingham","United Kingdom",40,"Birmingham (EGBB)",57575,734383,105636
2017,"EGCC","Manchester","United Kingdom",40,"Manchester (EGCC)",98394,1335473,210938
2017,"EGGD","Bristol","United Kingdom",40,"Bristol (EGGD)",32877,435485,15564
2017,"EGGW","London/ Luton","United Kingdom",40,"London/ Luton (EGGW)",64674,946644,77707
2017,"EGKK","London/ Gatwick","United Kingdom",40,"London/ Gatwick (EGKK)",137658,1946727,545849
2017,"EGLC","London/ City","United Kingdom",40,"London/ City (EGLC)",35225,463783,28923
2017,"EGLL","London/ Heathrow","United Kingdom",40,"London/ Heathrow (EGLL)",228195,3061834,1947092
2017,"EGNT","Newcastle","United Kingdom",40,"Newcastle (EGNT)",22725,295357,8616
2017,"EGPD","Aberdeen","United Kingdom",40,"Aberdeen (EGPD)",28664,373819,34557
2017,"EGPF","Glasgow","United Kingdom",40,"Glasgow (EGPF)",0,0,0
2017,"EGPH","Edinburgh","United Kingdom",40,"Edinburgh (EGPH)",62377,823617,77612
2017,"EGSS","London/ Stansted","United Kingdom",40,"London/ Stansted (EGSS)",91604,1269999,158845
2017,"EHAM","Amsterdam/ Schiphol","Netherlands",40,"Amsterdam/ Schiphol (EHAM)",246180,3271691,424989
2017,"EICK","Cork","Ireland",40,"Cork (EICK)",10054,122778,4839
2017,"EIDW","Dublin","Ireland",40,"Dublin (EIDW)",107581,1357682,298572
2017,"EKCH","Copenhagen/ Kastrup","Denmark",40,"Copenhagen/ Kastrup (EKCH)",122911,1437651,259218
2017,"ELLX","Luxembourg","Luxembourg",40,"Luxembourg (ELLX)",31938,415056,26339
2017,"ENBR","Bergen","Norway",40,"Bergen (ENBR)",32817,403141,38588
2017,"ENGM","Oslo/ Gardermoen","Norway",40,"Oslo/ Gardermoen (ENGM)",120137,1518948,171997
2017,"ENVA","Trondheim","Norway",40,"Trondheim (ENVA)",0,0,0
2017,"ENZV","Stavanger","Norway",40,"Stavanger (ENZV)",23930,275176,25678
